sample,grid_size,avg_shannon_index,variance_shannon
FAAGSCC_13,200,0.9349442145953683,0.2807351197477539
FAAGSCC_13,220,0.9808955705952505,0.2817065308410472
FAAGSCC_13,240,1.0185122207063977,0.28074931837386463
FAAGSCC_13,260,1.0559516180515192,0.2784149598854773
FAAGSCC_13,280,1.086488633229258,0.27614247040064493
FAAGSCC_13,300,1.1144391852930204,0.27640512260793576
FAAGSCC_13,350,1.1692487632286406,0.27270985101692397
FAAGSCC_13,400,1.210075079313138,0.27210728112464444
FAAGSCC_13,450,1.2446985383573625,0.27333248734818805
FAAGSCC_13,500,1.2765049458376596,0.2673584189368039
FAAGSCC_13,600,1.313926690897593,0.27259228084173565
FAAGSCC_13,700,1.3372944424912505,0.276124385597552
FAAGSCC_13,800,1.3541626419861728,0.2822982598782558
FAAGSCC_13,900,1.3702066139146745,0.29321654041197437
FAAGSCC_13,1000,1.386585065305755,0.2900178842388128
FAAGSCC_9,10,0.00016362889482944722,0.00011339240865435859
FAAGSCC_9,20,0.02015327394544375,0.013677228855527676
FAAGSCC_9,30,0.09224735501306024,0.059415612282771105
FAAGSCC_9,50,0.27026333695349797,0.164204970780596
FAAGSCC_9,60,0.3381968143648065,0.20414363037888988
FAAGSCC_9,70,0.38970954225408916,0.23639432651007933
FAAGSCC_9,80,0.43040902548368176,0.2614473342132512
FAAGSCC_9,90,0.4626908280240654,0.28182630759490407
FAAGSCC_9,100,0.4912813394626441,0.2993287300401938
FAAGSCC_9,120,0.5427919258103825,0.3226046832659323
FAAGSCC_9,140,0.5866978825393135,0.33675476419529304
FAAGSCC_9,160,0.6297271047260616,0.3447285553437915
FAAGSCC_9,180,0.6689349278337106,0.3476588092778694
FAAGSCC_9,200,0.7037293004410203,0.35053669730001
FAAGSCC_9,220,0.739963786254622,0.3478186371762945
FAAGSCC_9,240,0.7727402122431276,0.34369726383036986
FAAGSCC_9,260,0.8034220250880502,0.3403729727385625
FAAGSCC_9,280,0.8330711789145941,0.33168815418990794
FAAGSCC_9,300,0.8590516435401807,0.32854467570768553
FAAGSCC_9,350,0.9161263966790909,0.31317685887731306
